JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11411929(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000114(String), Bank Of China(String), OfficeSoftwareD7(String), 1(Long), 12212618(String), 2022-01-14(Date), 2022-01-19(Date), 2022-01-19(Date), 11411929(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: OfficeSoftwareD7(String)
<==    Columns: unit_price
<==        Row: 170
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 170(Long), Northern China(String), OfficeSoftwareD7(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000114(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select name from staff where number = ? 
==> Parameters: 12212618(String)
<==    Columns: name
<==        Row: Jessy Clarke
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: INSERT INTO contract ( contract_number, contract_manager_name, enterprise, supply_center, ordernum ) VALUES ( ?, ?, ?, ?, ? ) 
==> Parameters: CSE0000114(String), Jessy Clarke(String), Bank Of China(String), Northern China(String), 1(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Bank Of China(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), ServerBarebones96(String)
<==    Columns: num
<==        Row: 0
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), SoftwareEncryption15(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), SoftwareEncryption15(String)
<==    Columns: difference
<==        Row: 936
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12212008(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000114(String), Bank Of China(String), SoftwareEncryption15(String), 1(Long), 12212618(String), 2022-01-14(Date), 2022-01-19(Date), 2022-01-19(Date), 12212008(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: SoftwareEncryption15(String)
<==    Columns: unit_price
<==        Row: 690
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 690(Long), Northern China(String), SoftwareEncryption15(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000114(String)
<==    Columns: contract_number
<==        Row: CSE0000114
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000114(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Bank Of China(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), NotebookAccessoriesA7(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), NotebookAccessoriesA7(String)
<==    Columns: difference
<==        Row: 500
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11510115(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), ElectricIronD7(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), ElectricIronD7(String)
<==    Columns: difference
<==        Row: 714
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11210425(String)
<==    Columns: type
<==        Row: Contracts Manager
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Conoco(String)
<==    Columns: supply_center
<==        Row: America
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), GameChargerK2(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: America(String), GameChargerK2(String)
<==    Columns: difference
<==        Row: 324
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12112622(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000115(String), Conoco(String), GameChargerK2(String), 1(Long), 12111718(String), 2022-01-15(Date), 2022-01-20(Date), 2022-01-20(Date), 12112622(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
